tweet,cluster_number
"nhs blunders led to toddler s death
",5.0
"jab protects mice against tumours
",5.0
"video righttodie judgement due
",5.0
"righttodie court judgement due
",5.0
"sugar tax call for child obesity
",5.0
"hit songs help memory research
",5.0
"sunbathing may be addictive
",5.0
"smoking during pregnancy at new low
",5.0
"suicide alert may have backfired
",5.0
"dementia progress achingly slow
",5.0
"huge increase in crohns treatment
",5.0
"audio scared residents hit back at charity
",5.0
"diseased meat could go undetected
",5.0
"balloon surgery treats road injuries
",5.0
"patient sings through throat surgery
",5.0
"how ww1 changed emergency medicine
",5.0
"councils charging terminally ill
",5.0
"audio retiring early freedom or boredom
",5.0
"poor tracheostomy care warning
",5.0
"audio childminder sacked for being too fat
",5.0
"eu may define obesity as disability
",5.0
"audio catching cancer early is key
",5.0
"autism costs â£32bn per year in uk
",5.0
"holy sites may offer clues to antibiotic resistance
",5.0
"bosses urged to promote lunch breaks
",5.0
"audio baby poisoning bug hard to treat
",5.0
"malnutrition damages gut bacteria
",5.0
"video thalidomide victims launch legal action
",5.0
"feed firm saddened by baby death
",5.0
"pollution tie to irregular heartbeat
",5.0
"ebola death toll hits 208 in guinea
",5.0
"does the size of the nhs budget matter
",5.0
"audio bad drivers delaying ambulances
",5.0
"more heart wait patients dying
",5.0
"inquiry into emergency health care
",5.0
"mental health beds crisis warning
",5.0
"smoking and cancer gene deadly mix
",5.0
"audio advergames affect eating habits
",5.0
"keep taking statins says drug body
",5.0
"video child emotional abuse calls rise
",5.0
"light bedrooms link to obesity
",5.0
"us measles cases reach 20year high
",5.0
"audio tobacco industry must be progressive
",5.0
"gp my surgery is breaking apart
",5.0
"how reliable are medical research checks
",5.0
"nighteating syndrome is real
",5.0
"kidney dialysis machine for babies
",5.0
"chronic pain may be inherited
",5.0
"un warns of synthetic drug boom
",5.0
"why mediterranean diet is healthy
",5.0
"care home move breached rights
",5.0
"big brand suncreams fail tests
",5.0
"two meals a day can treat diabetes
",5.0
"heads voice medical guidance concern
",5.0
"glaxo china head named in probe
",5.0
"exercise messes with heart rhythm
",5.0
"chronotherapy drugs amp our body clock
",5.0
"rugby youth face scrum safety tests
",5.0
"how patients might design a psychiatric hospital
",5.0
"28000 may have faulty heart genes
",5.0
"death discussions taboo for many
",5.0
"man donated three kidneys by family
",5.0
"family arguing in early death link
",5.0
"aspirin may stop chemo hearing loss
",5.0
"the dogs that smell breath to monitor diabetes
",5.0
"black death skeletons yield secrets
",5.0
"audio woman defends filming own abortion
",5.0
"carers must be able to speak english
",5.0
"why is polio a public emergency
",5.0
"video mental health patients hit by cuts
",5.0
"video no family should be left like mine
",5.0
"arrest over alleged care home abuse
",5.0
"baby heart risk for pregnant smokers
",5.0
"loneliness rising among elderly
",5.0
"nursing home abuse report due
",5.0
"baby helmets have no added value
",5.0
"inquiry call over nursing home abuse
",5.0
"commons debates smear test age limit
",5.0
"ministrokes should not be ignored
",5.0
"pharma buyout threat to research
",5.0
"care home cctv could be considered
",5.0
"drug resistance global threat
",5.0
"clarity urged on child surgery cases
",5.0
"audio thousands ignore ministroke signs
",5.0
"apps combat phobias and anxiety
",5.0
"four abortions but termination isnt right
",5.0
"busting autism myths with a camera
",5.0
"ecigarette users reach 2 million
",5.0
"human skin grown in laboratory
",5.0
"asthma inhalers may go into schools
",5.0
"anatomy of the cost of a new drug
",5.0
"scan training boosted by simulator
",5.0
"burnt boys mother praises medics
",5.0
"video package holidays blamed for cancer rise
",5.0
"audio nhs trust blackened doctors name
",5.0
"england being caught up on nhs
",5.0
"selfie body image warning issued
",5.0
"organ donations double since 2007
",5.0
"guinea ebola deaths pass 100
",5.0
"youngest baby with ear implants
",5.0
"village hopes to stub out smoking
",5.0
"hunts gay blood stance questioned
",5.0
"good teeth may help sporting success
",5.0
"gadget light causing sleep problems
",5.0
"ketamine exciting depression therapy
",5.0
"lab cuts threat to human health
",5.0
"video lab cuts threat to human health
",5.0
"selfhealing muscle grown in the lab
",5.0
"video cant go on shoving money into nhs
",5.0
"breast cancer personal drugs hope
",5.0
"nursing body faces midstaffs censure
",5.0
"crossrail digs up black death victims
",5.0
"nurse in court charged with murders
",5.0
"obamacare signups top six million
",5.0
"smoking bans improve child health
",5.0
"audio pet cat saves diabetic girl 20 times
",5.0
"beating the odds to be nus president
",5.0
"autism begins long before birth
",5.0
"faecal bugs safe for gut treatment
",5.0
"overhaul of emergency nhs targets
",5.0
"video nhs urged to halve serious mistakes
",5.0
"nhs urged to halve serious mistakes
",5.0
"nurse whistleblower wins damages
",5.0
"anonymous donor funds boys surgery
",5.0
"mother and daughter both battle tb
",5.0
"fraud costing nhs â£5bn a year
",5.0
"dog disease could be medical boon
",5.0
"doctors outraged at nhs pay deal
",5.0
"uk 100yearolds increase by 73
",5.0
"uk experts back meningitis b jab
",5.0
"poor care resulted in babys death
",5.0
"ambulances a call centre worker on a busy job
",5.0
"alcoholrelated brain damage concern
",5.0
"baby organ donor rules deadly
",5.0
"video is buying breast milk online safe
",5.0
"ambulance watch a day in the life
",5.0
"video âiâve got a rubber stuck in my earâ
",5.0
"takeout food ban may fight obesity
",5.0
"early access drugs scheme launched
",5.0
"video ecstasy death prompts mums campaign
",5.0
"angelina jolie to have more surgery
",5.0
"obese pregnant women cost nhs more
",5.0
"audio surgeon saggy skin surgery is needed
",5.0
"obesity link to lower exam results
",5.0
"audio why i would take alzheimers test
",5.0
"young mental health service crisis
",5.0
"blood test finds alzheimers early
",5.0
"audio school banned my anorexic daughter
",5.0
"sixteen killed by hospital superbug
",5.0
"asbestos cancer payments announced
",5.0
"pregnancy drinking damages claim due
",5.0
"mental abuse should be made crime
",5.0
"sugar tax may be needed mps told
",5.0
"seaweed may be key to weight loss
",5.0
"nightmares may be health warning
",5.0
"study female brain more resilient
",5.0
"the social care curry club
",5.0
"newborn baby death family let down
",5.0
"threeperson baby plans announced
",5.0
"babyboomer drug and alcohol warning
",5.0
"breast cancer envy campaigner dies
",5.0
"women need more obesity treatment
",5.0
"will eldercare be as common as childcare
",5.0
"cooking meat may be dementia risk
",5.0
"nhs death rates should be ignored
",5.0
"nhs medical records rules broken
",5.0
"does medicine really need lab mice
",5.0
"councils want neknominate warnings
",5.0
"how does commuting affect wellbeing
",5.0
"drug lets blind eyes see light
",5.0
"scotland bucks uk drinkdeath trend
",5.0
"giant nhs database rollout delayed
",5.0
"deadly ambulance postcode lottery
",5.0
"hg wells the first celebrity charity campaigner
",5.0
"audio jab could kill brain tumour cells
",5.0
"exmamps boss to advise nhs managers
",5.0
"belgium approves child euthanasia
",5.0
"belgian mps vote on child euthanasia
",5.0
"video breaking the silence on male rape
",5.0
"brain finds true beauty in maths
",5.0
"ketamine to become class b drug
",5.0
"video she is my breast cancer sister
",5.0
"video dementia research uk 30 years behind
",5.0
"car smoking ban due before 2015
",5.0
"the girl whose mouth was locked shut
",5.0
"ministers will ban car smoking
",5.0
"video brittle bones mum achieves top goal
",5.0
"health experts back car smoking ban
",5.0
"measles global deaths decline by 78
",5.0
"temporary blindness boosts hearing
",5.0
"nhs getting better says hunt
",5.0
"nhs sent users to malicious websites
",5.0
"audio drinking game form of bullying
",5.0
"video plastic surgery boom in the uk
",5.0
"plastic surgery booming in the uk
",5.0
"can couples really get stuck together during sex
",5.0
"dead eyes may give blind sight
",5.0
"more nhs trusts sliding into the red
",5.0
"why city life may be bad for you
",5.0
"peanut allergy treatment a success
",5.0
"catching the mother of all bed bugs
",5.0
"hospital petition handed to assembly
",5.0
"audio research changing cancer treatment
",5.0
"custody healthcare a major problem
",5.0
"parents admit babys rickets death
",5.0
"music therapy helps cancer young
",5.0
"drugs takeup should be higher
",5.0
"the stethoscope are its days numbered
",5.0
"dog cancer dates back 11000 years
",5.0
"deadly bird flu cases surging
",5.0
"missed opportunities in boys care
",5.0
"nhs waiting time data unreliable
",5.0
"central heating may make you fat
",5.0
"doubts cast on uk heartattack care
",5.0
"baby unit closure must not happen
",5.0
"head space 3d surgery in the brain
",5.0
"obesity measure too high for many
",5.0
"breast implant damages ruling upheld
",5.0
"grieving mothers nhs baby care plea
",5.0
"audio i am facing hayleys choice
",5.0
"buttock cupping and other health cures
",5.0
"broadmoor worker admits misconduct
",5.0
"can antismoking tactics curb obesity
",5.0
"baby born after 20 miscarriages
",5.0
"audio choosing to delay motherhood
",5.0
"video diabetes smart lens tested by google
",5.0
"two million may need weight op
",5.0
"gene therapy saves blind mans sight
",5.0
"mental health cases rise in young
",5.0
"child shock guidelines are deadly
",5.0
"expsychiatric patient recalls abuse
",5.0
"obesity projections underestimated
",5.0
"antibody machinery leukaemia cause
",5.0
"he cant see clearly to hug me
",5.0
"video smokers edge close to one billion
",5.0
"audio fad diets a big risk mckenna warns
",5.0
"smokers edge close to one billion
",5.0
"audio oesophageal cancer deaths up by 50
",5.0
"altering diet may help with asthma
",5.0
"exporting gran to care homes abroad
",5.0
"vitamin d boosts child muscles
",5.0
"surgery implant has huge potential
",5.0
"surgery cancelled due to aampe demand
",5.0
"royal doctor knighted in honours
",5.0
"rural ambulance times need rethink
",5.0
"smoking adverts highlight brain risk
",5.0
"surgeons mark raises ethics issues
",5.0
"malaria shut down my bodys organs
",5.0
"study backs eating nuts in pregnancy
",5.0
"ambulance service fails 999 target
",5.0
"health risk church bells silenced
",5.0
"patients to get boxing day mri scans
",5.0
"five mysteries of the brain
",5.0
"spotlight on elderly malnutrition
",5.0
"epilepsy surgery cured seizures
",5.0
"breast surgeon concerns from 2003
",5.0
"could modern life be making us deaf
",5.0
"big fall in numbers given care
",5.0
"battery death boys care criticised
",5.0
"will you be lonely this christmas
",5.0
"young teens weight terror common
",5.0
"old bone dates human hand evolution
",5.0
"video colombian clubs safe drugs tests
",5.0
"tixylix cough medicines recalled
",5.0
"video anxious about maggots in surgery
",5.0
"worry as women left alone in labour
",5.0
"global cancer cases reach 14 million
",5.0
"video dementia treatment by 2025 pledge
",5.0
"nhs boards miss waiting time target
",5.0
"grades more nature than nurture
",5.0
"tb resistance is a ticking time bomb
",5.0
"uk aims to double dementia funding
",5.0
"sensors used to monitor obesity
",5.0
"could diabetes drug slow alzheimers
",5.0
"ketamine should be made class b
",5.0
"wii games help control diabetes
",5.0
"genetesting company here to stay
",5.0
"middleaged drink and drugs warning
",5.0
"key nhs operations being rationed
",5.0
"leg bone gives up oldest human dna
",5.0
"let me keep my dead husbands sperm
",5.0
"exercise is good dementia therapy
",5.0
"missed gp appointments priority
",5.0
"family in limbo over heart surgery
",5.0
"healthy obesity is a myth
",5.0
"fewer commuters cycling to work
",5.0
"energy drinks change heart beat
",5.0
"many carers at breaking point
",5.0
"dont ban khat mps urge government
",5.0
"lsd substitute should be classa
",5.0
"nhs told to get tough on smoking
",5.0
"audio head injury gives boy musical talent
",5.0
"boots recalls cough and cold remedies
",5.0
"immunisation begins in the philippines
",5.0
"prem baby steroids may risk adhd
",5.0
"delayed hospital discharges examined
",5.0
"the pressure of body image on women
",5.0
"supermarket ban on energy drinks
",5.0
"concern at brain haemorrhage delays
",5.0
"elderly emergency admissions rising
",5.0
"nhs electronic prescribing patchy
",5.0
"concussion damage lasts months
",5.0
"aampes get extra money as winter bites
",5.0
"haemophilia gene therapy solution
",5.0
"study links synaesthesia to autism
",5.0
"i thought i was on the truman show
",5.0
"bats harbour more deadly viruses
",5.0
"teen girl youngest stem cell donor
",5.0
"doctor jailed for assaulting family
",5.0
"audio sanitation âbiggestâ challenge
",5.0
"baby in cupboard midwife guilty
",5.0
"is cycling getting more or less dangerous
",5.0
"home circumcision doctor to resign
",5.0
"bleach may heal skin diseases
",5.0
"nhs waiting times more than double
",5.0
"msp launches new assisted dying bill
",5.0
"unpredictable pandemics warning
",5.0
"eyes cells help diagnose alzheimers
",5.0
"target mmr at teenagers report says
",5.0
"public seem to like ecigarettes
",5.0
"cancer waiting times inquiry begins
",5.0
"walkin closures may cut gp access
",5.0
"nursery toothbrushing saves â£6m
",5.0
"the bully in the next bedroom
",5.0
"nhs spends â£700 insuring each birth
",5.0
"massive dna volunteer hunt begins
",5.0
"colchester general the key questions
",5.0
"nhs deal on brandedmedicine cost
",5.0
"hospital dismissed bullying claims
",5.0
"jamie oliver honoured by gps
",5.0
"nhs trust backs asylum maze rename
",5.0
"care homes abuse inquiry head named
",5.0
"health job cuts plan under scrutiny
",5.0
"bma ni must stem junior doctor loss
",5.0
"genital mutilation abuse alert
",5.0
"breast cancer rising in under40s
",5.0
"poultry markets huge bird flu role
",5.0
"warning on too many aampe admissions
",5.0
"audio health threat from bags for life
",5.0
"video students tackle mental health stigma
",5.0
"audio young soldiers more vulnerable
",5.0
"video alzheimers insight from dna study
",5.0
"alzheimers insight from dna study
",5.0
"do you know the good fat from bad
",5.0
"audio keep homes warm public urged
",5.0
"health board in youtube job appeal
",5.0
"surgery offer for exfattest man
",5.0
"metabolism obesity excuse true
",5.0
"boys catching up on life expectancy
",5.0
"tb challenge over missing millions
",5.0
"black women get worse breast cancer
",5.0
"audio baldness breakthrough could be close
",5.0
"exercise boosts academic success
",5.0
"obama addresses healthcare glitches
",5.0
"cheney heart implant hack credible
",5.0
"anger as diabetic children miss out
",5.0
"death home saw institutional abuse
",5.0
"video abuse and neglect at care home
",5.0
"when an operating theatre becomes a lab
",5.0
"trust admits child deaths liability
",5.0
"medicines recalled by drugs watchdog
",5.0
"assisting legal abortion not crime
",5.0
"call for rugby concussion lessons
",5.0
"hospital trusts merger plan blocked
",5.0
"why i write my downs dad blog
",5.0
"the growth of global immunisation
",5.0
"beauty tips to laugh at cancer
",5.0
"doctor complaints rising steeply
",5.0
"trapped man has surgery on crane
",5.0
"may diabetes wont change my life
",5.0
"blood in urine could signal cancer
",5.0
"gay blood ban a matter for hunt
",5.0
"bone marrow donor campaign launches
",5.0
"alzheimers breakthrough cure or hype
",5.0
"hmrc failed on tobacco smuggling
",5.0
"call for school body image lessons
",5.0
"nhs must seek saving ideas abroad
",5.0
"how much can an extra hours sleep change you
",5.0
"toddler brain scan language insight
",5.0
"extra â£570m nhs cash in welsh budget
",5.0
"union anger at health pay plan
",5.0
"cosmetic surgery study centre opens
",5.0
"baby brain research unit opens
",5.0
"urgent action needed on child tb
",5.0
"video campbells tory alcohol pricing call
",5.0
"legionella in many compost brands
",5.0
"big rise in number of centenarians
",5.0
"video tooth in my eye restored my sight
",5.0
"c diff manslaughter inquiry call
",5.0
"short peoples heart risk greater
",2.0
"health highlights
",2.0
"video nursing code of conduct launched
",2.0
"video lifesaving knitters
",2.0
"video diarrhoea killing poorest children
",2.0
"office workers too sedentary
",2.0
"fitness linked to lower cancer risk
",2.0
"video nhs england deteriorating
",2.0
"dna of an entire nation assessed
",2.0
"has ebola focus led to other killer diseases being ignored
",2.0
"angelina jolie has ovaries removed
",2.0
"eat rice cold for fewer calories
",2.0
"video half of children not eating healthily
",2.0
"ashya king free of brain cancer
",2.0
"early call for ebola help ignored
",2.0
"half of children have tooth decay
",2.0
"doctors in no confidence vote
",2.0
"breastfeeding linked to higher iq
",2.0
"how bad has winter been for the nhs
",2.0
"starting gun fired on new nhs
",2.0
"are rwandans healthier than the english
",2.0
"frankie the dog âsniffs out cancerâ
",2.0
"80m for sierra leone to fight ebola
",2.0
"coffee linked to cleaner arteries
",2.0
"man sentenced for doctor cv changes
",2.0
"video dementia like having a small child
",2.0
"call to ban energy drinks for kids
",2.0
"teenage pregnancies hit record low
",2.0
"video the dangers of tanning addiction
",2.0
"the blind breast cancer detectors
",2.0
"patientsafetyfear gp defies nhs
",2.0
"nhs misses a year of cancer targets
",2.0
"trust declares significant incident
",2.0
"advice on secret care home filming
",2.0
"video the science behind food cravings
",2.0
"advice no alcohol safe in pregnancy
",2.0
"deaths averted at failing hospitals
",2.0
"doctor guilty of indecent assaults
",2.0
"radical nhs changes disastrous
",2.0
"rejected cancer drug extends life
",2.0
"call to boost antibiotics funding
",2.0
"video calls for funding to treat sight loss
",2.0
"blood cancer drug offered on nhs
",2.0
"radical change needed for nhs
",2.0
"ebola call for more sharing of science
",2.0
"astra zeneca drive for genetic drugs
",2.0
"video the search for an ebola vaccine
",2.0
"nhs satisfaction risen significantly
",2.0
"nhs crisis guidelines questioned
",2.0
"video 3d printed heart saves girls life
",2.0
"high cholesterol in midlife risky
",2.0
"waiting lists need radical action
",2.0
"hearing loss care demand rises
",2.0
"heartburn could be sign of cancer
",2.0
"video ebola experience life changing
",2.0
"video care system failing the elderly
",2.0
"nhs the parties spending plans
",2.0
"bid to tackle hospital bedblocking
",2.0
"call the midwife in bangladesh
",2.0
"â£40000 legal costs of gay blood ban
",2.0
"ebola cases declining in west africa
",2.0
"video feeling the heat in protective gear
",2.0
"infected blood legal case begins
",2.0
"video actor bachchan on disease fight
",2.0
"the transgender 13yearold
",2.0
"video cancer task force looks at diagnosis
",2.0
"nhs aims for earlier cancer diagnosis
",2.0
"flu cases highest for three years
",2.0
"gamechanging antibiotic find
",2.0
"more stressed nhs staff signed off
",2.0
"cancer cases to reach record high
",2.0
"ebola case confirmed in glasgow
",2.0
"doctors warn of loom bands danger
",2.0
"planned nhs cash changes spark anger
",2.0
"stem cell scandal scientist resigns
",2.0
"video hunt nhs getting record funds
",2.0
"video visiting the doctor via the internet
",2.0
"ill teenagers not to be held in cells
",2.0
"video nhs overreliant on foreign nurses
",2.0
"care home scalding death accidental
",2.0
"shift workers sicker and fatter
",2.0
"england nation of pillpoppers
",2.0
"maternal death rates are falling
",2.0
"halving of malaria deaths celebrated
",2.0
"halving of malaria deaths celebrated
",2.0
"interesting nhs data noone is looking at
",2.0
"apology for wrong gp risk data
",2.0
"more breastfeeding worth millions
",2.0
"no evidence flu drug caused deaths
",2.0
"fears as children use ecigarettes
",2.0
"obama demands 6bn for ebola fight
",2.0
"late night food breeds weight gain
",2.0
"hiv evolving into milder form
",2.0
"screen more for cancer risk genes
",2.0
"osborne to pledge extra â£2bn for nhs
",2.0
"delayed discharges reach record high
",2.0
"children tested for ebola on tyneside
",2.0
"gps failing to find liver disease
",2.0
"learning disability care failing
",2.0
"call for â£2bn more for nhs in england
",2.0
"nhs staff stage fourhour strike
",2.0
"the battle for control of the cigarette packet
",2.0
"video nhs staff set off to help fight ebola
",2.0
"video bed blockers face legal action
",2.0
"nhs should use cancer drug for eyes
",2.0
"bed blockers face legal action
",2.0
"nhs misses cancer treatment targets
",2.0
"eastenders breaking cancer taboo
",2.0
"drowning hidden childhood killer
",2.0
"dutch battle contagious bird flu
",2.0
"gene error reduces heart attacks
",2.0
"cancer drugs fund to be restricted
",2.0
"change in ebola tactics needed msf
",2.0
"first ecig vaping ad airing on tv
",2.0
"use old drugs to treat cancer call
",2.0
"un lacks resources to fight ebola
",2.0
"video ebola chief this disease is still a crisis
",2.0
"cosmetic jabs safe if done right
",2.0
"sponge on a string test for cancer
",2.0
"video us righttodie advocate ends life
",2.0
"us righttodie advocate ends life
",2.0
"video my son died after taking legal high
",2.0
"ebola the right to refuse to treat
",2.0
"google developing a cancer detector
",2.0
"video helping nhs staff cope in liberia
",2.0
"nhs acting as barrier to families
",2.0
"patients fleeing wales denial
",2.0
"nhs to grind to halt with dementia
",2.0
"liver deaths rise linked to alcohol
",2.0
"nigeria declared free of ebola
",2.0
"grants for childrens mental health
",2.0
"nearly 500 new fgm cases identified
",2.0
"nhs staff to stage fourhour strike
",2.0
"frozen faeces in gut infection trial
",2.0
"cameron defends ebola screening
",2.0
"ebola challenge biggest since aids
",2.0
"ecigarette adverts to appear on tv
",2.0
"care in england not good enough
",2.0
"bionic arm restores sense of feeling
",2.0
"radiographers opt for new strike day
",2.0
"instagram for doctors takes off
",2.0
"nobel prize for the brains gps
",2.0
"chagas disease inheriting a silent killer
",2.0
"aids origin was 1920s kinshasa
",2.0
"video girl gets 3dprinted prosthetic hand
",2.0
"first ebola case diagnosed in the us
",2.0
"heart disease warnings missed
",2.0
"children failed in early years
",2.0
"video asthma stigma in some asian families
",2.0
"green light for new skin cancer drug
",2.0
"video ebola the scale of the challenge
",2.0
"local hospitals can be gold standard
",2.0
"un calls for 1bn to fight ebola
",2.0
"video further cut to sugar intake needed
",2.0
"video haitis disease fighting eco toilet
",2.0
"call for further cut in sugar intake
",2.0
"fat shaming leads to weight gain
",2.0
"call for lung cancer screening in uk
",2.0
"ebola threat to liberia existence
",2.0
"ecigs refills threat to children
",2.0
"liberia faces huge ebola surge
",2.0
"ecigarette criticisms alarmist
",2.0
"ebola death toll exceeds 1900
",2.0
"call to end nhssocial care divide
",2.0
"british ebola patient discharged
",2.0
"sniffing faeces detects infection
",2.0
"senegal confirms first ebola case
",2.0
"tomatoes linked with fighting cancer
",2.0
"whole organ grown in world first
",2.0
"briton in sierra leone has ebola
",2.0
"video one briton a fortnight helped to die
",2.0
"one briton a fortnight helped to die
",2.0
"thousands eligible for ebola drugs
",2.0
"student in lifesaving heart finding
",2.0
"heart deaths reach tipping point
",2.0
"mental health care in dark ages
",2.0
"getting to grips with depression
",2.0
"alcohol tax urged to fund rehab
",2.0
"kenya at high risk of deadly ebola
",2.0
"video anorexia research into dna link
",2.0
"councils raise care funding concerns
",2.0
"antibiotics use for colds rising
",2.0
"nigeria records second ebola case
",2.0
"ebola test after passenger death
",2.0
"ebola spreading too fast who
",2.0
"ecigs less harm than cigarettes
",2.0
"england records rise in dementia
",2.0
"video dalek cleaner cutting infection
",2.0
"car fighting spreads like infection
",2.0
"shift workers face diabetes risk
",2.0
"oneshot cancer therapy gets nhs nod
",2.0
"exciting drug flushes out hiv
",2.0
"large gene find in schizophrenia
",2.0
"concerns over late night discharges
",2.0
"lifesaver cancer drug running out
",2.0
"nhs gets safe nurse staffing rules
",2.0
"lack of nhs downs test criticised
",2.0
"childrens dental health warning
",2.0
"fears raised free nhs will end
",2.0
"a guide to assistance dogs
",2.0
"organ transplants on the rise
",2.0
"same genes drive maths and reading
",2.0
"video gp prescriptions to tackle loneliness
",2.0
"paying the price
",2.0
"video health regulator fails to get nhs
",2.0
"african states agree ebola strategy
",2.0
"dying need free social care
",2.0
"test for teen bingedrinking risk
",2.0
"gene linked to higher stroke risk
",2.0
"major stemcell findings retracted
",2.0
"csection linked to stillbirth
",2.0
"call to halve target for added sugar
",2.0
"savile nhs victims aged five to 75
",2.0
"doctors face new language checks
",2.0
"he saved my life that night
",2.0
"soaps to screen organ donor adverts
",2.0
"nhs satisfaction rises over decade
",2.0
"girls aged 11 trying ecigarettes
",2.0
"diabetes gene raises risk tenfold
",2.0
"nursing are we facing a tradeoff
",2.0
"equal access to cancer drugs call
",2.0
"outofhours concerns highlighted
",2.0
"washing chicken spreads infection
",2.0
"medical research defender knighted
",2.0
"sex apps increasing risk of stis
",2.0
"irish bid to ban branded cigarettes
",2.0
"apology for cancer diagnosis delay
",2.0
"dropping the n in nhs
",2.0
"police investigate nhs patient death
",2.0
"teenage star of cancer diagnosis
",2.0
"nhs failing elderly patients
",2.0
"godfather of ecstasy dies aged 88
",2.0
"audio british feet are getting bigger
",2.0
"health drive for school gate shops
",2.0
"skin cancer trial results exciting
",2.0
"feet are getting bigger and wider
",2.0
"video food advergames target children
",2.0
"call to resist ecigarette controls
",2.0
"gene test for heart risk rolled out
",2.0
"video child sight loss on the increase
",2.0
"child sight loss on the increase
",2.0
"refugees struggle for cancer care
",2.0
"gps say no to charging patients
",2.0
"no extradition for fatal dose doctor
",2.0
"video charging to see a gp
",2.0
"regulate food like cigarettes
",2.0
"audio childline drink and drug calls rise
",2.0
"high bmi stemcell donors safe
",2.0
"endoflife care deeply concerning
",2.0
"hospital care failings shock
",2.0
"arrogance over need for sleep
",2.0
"pfizer in astrazeneca legal pledge
",2.0
"coeliac disease diagnoses rise in uk
",2.0
"rare disease screening for newborns
",2.0
"video the risks of sitting all day long
",2.0
"maternal deaths falling says who
",2.0
"underfives death rate high in uk
",2.0
"video fertility on a shoestring
",2.0
"legal challenge over nhs spending
",2.0
"video telltale signs of a ministroke
",2.0
"prepregnancy diet affects genes
",2.0
"video im in remission thank god
",2.0
"video are electronic cigarettes safe
",2.0
"call to end vaccine nightmare
",2.0
"cancer teen reaches â£1m target
",2.0
"trust failed on 111 call answering
",2.0
"a third cant afford healthy food
",2.0
"skin cancer rates surge since 70s
",2.0
"nhs datasharing scheme mishandled
",2.0
"foreign doctors need tougher test
",2.0
"hospital infections still too high
",2.0
"fund cancer research insurers urged
",2.0
"video hitech goggles detect cancer cells
",2.0
"hiv home test kits given goahead
",2.0
"scarlet fever cases rise in england
",2.0
"new oral cancer risks identified
",2.0
"how is ptsd diagnosed
",2.0
"video rise in fake hiv tests in uganda
",2.0
"video loneliness affects general health
",2.0
"nhs staff face ban for poor english
",2.0
"staff shortage closes hospital beds
",2.0
"step forward in skin cancer fight
",2.0
"clearing the air
",2.0
"dentists to be given defibrillators
",2.0
"eleven patients deaths investigated
",2.0
"âscandalâ of liver disease inaction
",2.0
"health board chief to take new role
",2.0
"video afghanistans long distance doctors
",2.0
"âiâve got a lot of living to doâ
",2.0
"video threat of extinction to gp service
",2.0
"fears over statins are misleading
",2.0
"call for change to breast screening
",2.0
"hospitals feeling the pinch
",2.0
"ancient egyptian had earliest cancer
",2.0
"childrens heart surgery unit safe
",2.0
"patient has pioneering 3d face op
",2.0
"prescription charge rise in england
",2.0
"belfast health trust boss resigns
",2.0
"video childrens diets far too salty
",2.0
"shortage of senior nurses in nhs
",2.0
"childrens diets far too salty
",2.0
"withdraw major stem cell findings
",2.0
"england sees surge of scarlet fever
",2.0
"audio charity calls for lung donor change
",2.0
"women get heart disease too
",2.0
"video ive lost 4 inches in height
",2.0
"nhs bosss stafford hospital regret
",2.0
"audio anger increases heart attack risk
",2.0
"hangovers dont deter drinkers
",2.0
"angry people risking heart attacks
",2.0
"doctors aim to grow ears from fat
",2.0
"child health link to fathers age
",2.0
"surgeons wait for answers on deaths
",2.0
"nhs staff say care good enough
",2.0
"photo gallery healthcare challenges in afghanistan
",2.0
"obese denied life saving treatment
",2.0
"video video goggles for hospital patients
",2.0
"nhs data critics scaremongering
",2.0
"video major heart healing trial starts
",2.0
"major heart healing trial starts
",2.0
"caredata how did it go so wrong
",2.0
"lifestyle link to miscarriage risk
",2.0
"eating disorders can be fatal
",2.0
"how aspergers reignited a passion for art
",2.0
"video psychological scars of intensive care
",2.0
"police probe hospital pledges action
",2.0
"gps add to fears over nhs database
",2.0
"study finds ni drug deaths different
",2.0
"rise in deaths from legal highs
",2.0
"why sharing data is for greater good
",2.0
"video has stafford scandal changed nhs
",2.0
"data reveals englands fattest areas
",2.0
"cancer a global threat
",2.0
"video illegally tattooed at the age of 13
",2.0
"tinnitus risk of noisy nights out
",2.0
"child car smoking ban before lords
",2.0
"meeting oxfords research monkeys
",2.0
"patient got hepatitis in hospital
",2.0
"suffering in silence
",2.0
"ecigarette ban for under18s
",2.0
"magnets can treat some migraines
",2.0
"failing elderly care home to close
",2.0
"critics hail hayleys corrie exit
",2.0
"hospital withholds death findings
",2.0
"clegg attacks nhs mental health care
",2.0
"cancer drug dad jailed for killings
",2.0
"20 of nhs work does no good
",2.0
"rates of gout in uk soaring
",2.0
"quicker drug for breast cancer
",2.0
"video risks of illegal tanning injections
",2.0
"hospital linen electronically tagged
",2.0
"the rise of the young nondrinkers
",2.0
"golden age of antibiotics set to end
",2.0
"bottle feedings long history
",2.0
"nhs probe into porters drinking
",2.0
"audio a dry january is good for health
",2.0
"end protection of nhs spending fox
",2.0
"does intermittent fasting work
",2.0
"medical sciences news highlights of 2013
",2.0
"call to restrict ecigarette sales
",2.0
"migrants to face nhs care charges
",2.0
"lockedin footballer given ovation
",2.0
"care home bosses jailed for neglect
",2.0
"stress gene linked to heart attacks
",2.0
"indian women who are choosing to be childfree
",2.0
"concern over high liver deaths rate
",2.0
"video school children reveal food they eat
",2.0
"obesity falls in english schools
",2.0
